Repository Name,Description,Programming Language,Stars,Forks,Stars This Week,summary
zylon-ai /private-gpt,"Interact with your documents using the power of GPT, 100% privately, no data leaks",Python,50370,6691,1203,"PrivateGPT is an AI project that lets you ask questions about your documents using advanced language models, even without an internet connection. It prioritizes privacy by keeping all data within your own environment. The project offers APIs for building private AI applications, with high-level and low-level options for different levels of complexity. It includes a user-friendly Gradio UI, tools for document handling, and is designed to be easily extended and adapted. Contributions to the project are welcome, and a community actively engages via Twitter and Discord. If you're interested in generative AI with a privacy focus, PrivateGPT is a project to watch."
tiangolo /full-stack-fastapi-template,"Full stack, modern web application template. Using FastAPI, React, SQLModel, PostgreSQL, Docker, GitHub Actions, automatic HTTPS and more.",TypeScript,21469,3521,1391,"The Full Stack FastAPI Template is a versatile project template that combines a Python backend API built with FastAPI and a React frontend. The technology stack includes features like SQLModel for database interactions, Pydantic for data validation, PostgreSQL as the database, and Chakra UI for frontend components. Other notable features include Docker Compose for development and production, secure password hashing, JWT token authentication, email-based password recovery, tests with Pytest, and CI/CD with GitHub Actions. The template includes various dashboards, dark mode support, interactive API documentation, and deployment instructions using Docker Compose and Traefik for handling HTTPS certificates. Users can easily fork or clone the repository to use the template, and there are instructions for setting up a private repository or updating from the original template. Configuration settings can be customized in the `.env` files, and there is an option to generate a new project using Copier. Detailed documentation is provided for backend development, frontend development, deployment, general development practices, and release notes. The template is licensed under the MIT license."
Unity-Technologies /megacity-metro,"Megacity-Metro: a thrilling shooter game, using Netcode for Entities for a multiplayer experience supporting 128+ players. Latest DOTS packages and Unity Gaming Services elevate the user experience, demonstrating how to craft engaging multiplayer games.",C#,271,55,83,"Megacity-Metro is a multiplayer shooter game that can support over 128 players simultaneously. It leverages advanced Unity technologies like Netcode for Entities and Unity Gaming Services to create an immersive gaming experience. The game features large-scale rendering, server-authoritative gameplay, cross-platform support, and integration with various gaming services. Players can control the game using mouse and keyboard inputs. 

To get started, you need to clone the project using Git and follow the setup instructions provided. The project may take some time to load initially due to its size, but subsequent plays should be faster. The repository does not accept pull requests or other collaboration requests. Finally, Megacity-Metro is licensed under the Unity Companion License."
vercel /ai-chatbot,"A full-featured, hackable Next.js AI chatbot built by Vercel",TypeScript,4427,1122,177,"This is a template for creating an AI chatbot application using Next.js, Vercel AI SDK, OpenAI, and Vercel KV. It includes features such as chat history, authentication with NextAuth.js, and support for various AI model providers. You can easily deploy your own version of this chatbot to Vercel with just one click. The template also provides guidance on setting up a KV database instance and running the chatbot locally. It is created by members of the Vercel and Next.js teams along with contributions from other developers."
YunaiV /ruoyi-vue-pro,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP 等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,Java,23310,4860,631,"The project is an open-source platform built using the following technologies:

- **Frameworks**: Spring Boot, MyBatis Plus, Hibernate Validator, Flowable, Quartz, etc.
- **Database**: MySQL, Redis
- **Tools**: Druid, Redisson, Spring Security, Springdoc, Resilience4j, SkyWalking, etc.
- **Other Tools**: Jackson, MapStruct, Lombok, JUnit, Mockito

The project includes modules for system management, workflow management, payment systems, infrastructure management, data reporting, and more. It also provides features like user management, role management, workflow modeling, API documentation, code generation, message queues, and integrated monitoring tools.

The platform offers various functionalities like user management, role management, workflow automation, API management, and more. It also includes features for monitoring databases, queues, generating code, and managing configurations. Additionally, there are modules for reporting, payment systems, and integration with external services like WeChat official accounts."
Doubiiu /DynamiCrafter,DynamiCrafter: Animating Open-domain Images with Video Diffusion Priors,Python,1354,101,218,"This project, called DynamiCrafter, allows for animating still images using text prompts and video diffusion priors. It can generate videos based on open-domain images and is continually improving its performance. Users can compare it with other models such as Stable Video Diffusion and PikaLabs. The project offers different resolutions for showcasing its capabilities, along with various applications like storytelling video generation, frame interpolation, and looping video generation. The project provides pretrained models and instructions for installation and usage. It also acknowledges community support and offers citations for referencing the work. Users are encouraged to responsibly use the tool within legal boundaries."
solana-labs /solana,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",Rust,11803,3607,151,"Solana is a blockchain project that aims to provide fast and secure transactions. To build Solana on your system, you need to install Rust, Cargo, and Rustfmt. You can download the source code from their GitHub repository and build it using Cargo. Testing can be done by running the test suite. You can also start a local testnet or access the remote development cluster for further testing. For benchmarking, you'll need to install the nightly build of Rust and run the benchmarks. The release process and code coverage statistics generation process are also outlined. It's important to note that all information provided in the project is based on Solana Labs' efforts and should be validated for accuracy. Additionally, the project does not encourage the violation of any laws or regulations, especially those related to export controls and sanctions laws."
tiann /KernelSU,A Kernel based root solution for Android,Kotlin,7666,1285,271,"KernelSU is a root solution for Android devices that is based on the device's kernel. It allows for managing root access and includes a module system. You can lock root access for specific apps with the App Profile feature. KernelSU supports newer Android devices with kernel 5.10+ and older devices with kernel 4.14+ (built manually). It is compatible with WSA, ChromeOS, and container-based Android. Currently, only `arm64-v8a` and `x86_64` architectures are supported. For installation instructions, building, and more details, visit the [official website](https://kernelsu.org/). Contributions to translations can be made through [Weblate](https://hosted.weblate.org/engage/kernelsu/). If you want to report security vulnerabilities, refer to the [SECURITY.md](/SECURITY.md) file. The project is licensed under GPL-2.0 for the kernel directory and GPL-3.0-or-later for other parts. You can join the discussion on Telegram [@KernelSU](https://t.me/KernelSU)."
continuedev /continue,⏩ The easiest way to code with any LLM—Continue is an open-source autopilot for VS Code and JetBrains,TypeScript,9592,555,712,"""Continue"" is an open-source tool that acts as an autopilot for coding in environments like VS Code and JetBrains. It provides features like task and tab autocomplete, code editing using natural language instructions, and the ability to generate files from scratch. Users can also experiment with experimental features like local tab autocomplete, customize context providers, and create custom slash commands. Continue leverages models like GPT-4, Gemini Pro, and Phind CodeLlama via various providers for enhanced functionality. Users can contribute to the project and explore its features further by checking out the contribution guide and joining the community Discord."
pola-rs /polars,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust",Rust,25362,1518,400,"Polars is a high-performance DataFrame interface that works with Rust, Python, Node.js, R, and SQL. It offers features such as lazy and eager execution, multi-threading, SIMD optimization, query optimization, and a powerful expression API. Polars can handle datasets larger than the available RAM memory by utilizing a hybrid streaming approach. It is known for its speed and lightweight nature, and it outperforms other similar tools in benchmark tests.

You can use Polars in Python by installing it with `pip install polars`. For Rust users, you can add Polars as a dependency in your Cargo.toml file. Polars also supports creating and running SQL queries directly. You can contribute to the project and even extend it by adding custom Rust functions for use in Python.

If you need to work with datasets larger than 4.2 billion rows, you can compile Polars with the `bigidx` feature flag. There are also specialized versions like `polars-u64-idx` for Python users who need to work with ultra-large datasets. Additionally, there are legacy versions available for older CPUs or specific hardware configurations.

JetBrains is one of the sponsors of the Polars project."
tinygrad /tinygrad,You like pytorch? You like micrograd? You love tinygrad! ❤️,Python,23230,2587,305,"tinygrad is a simple deep learning framework that aims to be easy to use and allows for adding new accelerators. It is still in the development stage but has received funding to improve. The framework supports key features like LLaMA and Stable Diffusion, offers laziness for optimizations, and provides tools for building neural networks. It already supports various accelerators like GPU and LLVM, with the possibility to add more. Installation is recommended from the source, and documentation with examples is available for reference. Contributions are welcome, with guidelines provided to ensure the quality and simplicity of the code. Testing is essential, and there are specific instructions on running tests."
Stability-AI /StableSwarmUI,"StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility.",C#,2178,181,149,"StableSwarmUI is a web user interface designed for Stable Diffusion, focusing on accessibility to powerful tools, high performance, and expandability. Currently in beta, the project is functional but still undergoing development to enhance features and address known issues. Users can contribute to its advancement by submitting pull requests or offering feedback. The UI allows for various installations on Windows, Linux, Mac with M1 or M2 Apple silicon processors, and Docker environments. Additionally, the project integrates various software components under different licenses, while StableSwarmUI itself is licensed under the MIT License."
qdrant /qdrant,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloudhttps://cloud.qdrant.io/",Rust,17365,1143,509,"Qdrant is a vector search engine and database designed for the next generation of artificial intelligence applications. It is built in Rust for high performance and reliability under heavy loads. Qdrant allows users to store, search, and manage vectors with associated data efficiently. It supports various filtering options, making it suitable for neural network-based matching, faceted search, and other advanced applications. Qdrant offers client libraries for easy integration, and it can be deployed in different ways, including in-memory or containerized setups. It also supports features like payload indexing, hybrid search with sparse vectors, distributed deployment, and more. Qdrant is available both as self-hosted software and as a managed service in the cloud."
d2l-ai /d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,Python,55697,10322,445,"This is a project called ""Dive into Deep Learning (D2L.ai)"" that aims to teach readers about deep learning concepts, background knowledge, and coding practices. The project provides free online resources with technical depth to help readers become proficient in applying deep learning in practical settings. It includes runnable code examples, encourages hands-on experience, and allows for community collaboration and iteration. The project has received recommendations from both academia and industry experts. The book is available in both Chinese and English versions and has been widely recognized for its practical approach to learning deep learning. Contributions from the community have helped improve the quality of the open-source book."
